"filename", "language", "C++", "Markdown", "C", "Makefile", "x86 and x86_64 Assembly", "comment", "blank", "total"
"c:\Users\Bogda\OneDrive\Desktop\vexapay\src\Makefile", "Makefile", 0, 0, 0, 38, 0, 0, 12, 50
"c:\Users\Bogda\OneDrive\Desktop\vexapay\src\boot\boot.asm", "x86 and x86_64 Assembly", 0, 0, 0, 0, 39, 3, 9, 51
"c:\Users\Bogda\OneDrive\Desktop\vexapay\src\kernel\drivers\keyboard.c", "C", 0, 0, 92, 0, 0, 3, 31, 126
"c:\Users\Bogda\OneDrive\Desktop\vexapay\src\kernel\drivers\keyboard.h", "C++", 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\Bogda\OneDrive\Desktop\vexapay\src\kernel\drivers\vga.c", "C", 0, 0, 33, 0, 0, 6, 8, 47
"c:\Users\Bogda\OneDrive\Desktop\vexapay\src\kernel\drivers\vga.h", "C++", 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\Bogda\OneDrive\Desktop\vexapay\src\kernel\kernel.c", "C", 0, 0, 34, 0, 0, 1, 8, 43
"c:\Users\Bogda\OneDrive\Desktop\vexapay\src\mlibc\spec.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Bogda\OneDrive\Desktop\vexapay\src\mlibc\string.h", "C++", 10, 0, 0, 0, 0, 0, 2, 12
"Total", "-", 23, 1, 159, 38, 39, 13, 76, 349